Simülasyon süresi: 200 sn
Müşteri gelme aralığı: 5 sn
Tek seferde gelen toplam müşteri sayısı: 9
Tek seferde gelen önemli müşteri sayısı: 9

Yapılan toplam hesaplama sayısı: 4312
1) Masa sayısı: 1 | Garson sayısı: 1 | Aşçı sayısı: 1 | Müşteri sayısı: 20 | Kazanç: 17
2) Masa sayısı: 1 | Garson sayısı: 1 | Aşçı sayısı: 2 | Müşteri sayısı: 20 | Kazanç: 16
3) Masa sayısı: 1 | Garson sayısı: 1 | Aşçı sayısı: 3 | Müşteri sayısı: 20 | Kazanç: 15
4) Masa sayısı: 1 | Garson sayısı: 1 | Aşçı sayısı: 4 | Müşteri sayısı: 20 | Kazanç: 14
5) Masa sayısı: 1 | Garson sayısı: 1 | Aşçı sayısı: 5 | Müşteri sayısı: 20 | Kazanç: 13
6) Masa sayısı: 1 | Garson sayısı: 1 | Aşçı sayısı: 6 | Müşteri sayısı: 20 | Kazanç: 12
7) Masa sayısı: 1 | Garson sayısı: 1 | Aşçı sayısı: 7 | Müşteri sayısı: 20 | Kazanç: 11
8) Masa sayısı: 1 | Garson sayısı: 2 | Aşçı sayısı: 1 | Müşteri sayısı: 20 | Kazanç: 16
9) Masa sayısı: 1 | Garson sayısı: 2 | Aşçı sayısı: 2 | Müşteri sayısı: 20 | Kazanç: 15
10) Masa sayısı: 1 | Garson sayısı: 2 | Aşçı sayısı: 3 | Müşteri sayısı: 20 | Kazanç: 14
11) Masa sayısı: 1 | Garson sayısı: 2 | Aşçı sayısı: 4 | Müşteri sayısı: 20 | Kazanç: 13
12) Masa sayısı: 1 | Garson sayısı: 2 | Aşçı sayısı: 5 | Müşteri sayısı: 20 | Kazanç: 12
13) Masa sayısı: 1 | Garson sayısı: 2 | Aşçı sayısı: 6 | Müşteri sayısı: 20 | Kazanç: 11
14) Masa sayısı: 1 | Garson sayısı: 2 | Aşçı sayısı: 7 | Müşteri sayısı: 20 | Kazanç: 10
15) Masa sayısı: 1 | Garson sayısı: 3 | Aşçı sayısı: 1 | Müşteri sayısı: 20 | Kazanç: 15
16) Masa sayısı: 1 | Garson sayısı: 3 | Aşçı sayısı: 2 | Müşteri sayısı: 20 | Kazanç: 14
17) Masa sayısı: 1 | Garson sayısı: 3 | Aşçı sayısı: 3 | Müşteri sayısı: 20 | Kazanç: 13
18) Masa sayısı: 1 | Garson sayısı: 3 | Aşçı sayısı: 4 | Müşteri sayısı: 20 | Kazanç: 12
19) Masa sayısı: 1 | Garson sayısı: 3 | Aşçı sayısı: 5 | Müşteri sayısı: 20 | Kazanç: 11
20) Masa sayısı: 1 | Garson sayısı: 3 | Aşçı sayısı: 6 | Müşteri sayısı: 20 | Kazanç: 10
21) Masa sayısı: 1 | Garson sayısı: 3 | Aşçı sayısı: 7 | Müşteri sayısı: 20 | Kazanç: 9
22) Masa sayısı: 1 | Garson sayısı: 4 | Aşçı sayısı: 1 | Müşteri sayısı: 20 | Kazanç: 14
23) Masa sayısı: 1 | Garson sayısı: 4 | Aşçı sayısı: 2 | Müşteri sayısı: 20 | Kazanç: 13
24) Masa sayısı: 1 | Garson sayısı: 4 | Aşçı sayısı: 3 | Müşteri sayısı: 20 | Kazanç: 12
25) Masa sayısı: 1 | Garson sayısı: 4 | Aşçı sayısı: 4 | Müşteri sayısı: 20 | Kazanç: 11
26) Masa sayısı: 1 | Garson sayısı: 4 | Aşçı sayısı: 5 | Müşteri sayısı: 20 | Kazanç: 10
27) Masa sayısı: 1 | Garson sayısı: 4 | Aşçı sayısı: 6 | Müşteri sayısı: 20 | Kazanç: 9
28) Masa sayısı: 1 | Garson sayısı: 4 | Aşçı sayısı: 7 | Müşteri sayısı: 20 | Kazanç: 8
29) Masa sayısı: 1 | Garson sayısı: 5 | Aşçı sayısı: 1 | Müşteri sayısı: 20 | Kazanç: 13
30) Masa sayısı: 1 | Garson sayısı: 5 | Aşçı sayısı: 2 | Müşteri sayısı: 20 | Kazanç: 12
31) Masa sayısı: 1 | Garson sayısı: 5 | Aşçı sayısı: 3 | Müşteri sayısı: 20 | Kazanç: 11
32) Masa sayısı: 1 | Garson sayısı: 5 | Aşçı sayısı: 4 | Müşteri sayısı: 20 | Kazanç: 10
33) Masa sayısı: 1 | Garson sayısı: 5 | Aşçı sayısı: 5 | Müşteri sayısı: 20 | Kazanç: 9
34) Masa sayısı: 1 | Garson sayısı: 5 | Aşçı sayısı: 6 | Müşteri sayısı: 20 | Kazanç: 8
