Simülasyon süresi: 12 sn
Müşteri gelme aralığı: 2 sn
Tek seferde gelen toplam müşteri sayısı: 3
Tek seferde gelen önemli müşteri sayısı: 3

Yapılan toplam hesaplama sayısı: 370
1) Masa sayısı: 1 | Garson sayısı: 1 | Aşçı sayısı: 1 | Müşteri sayısı: 1 | Kazanç: -2
2) Masa sayısı: 1 | Garson sayısı: 1 | Aşçı sayısı: 2 | Müşteri sayısı: 1 | Kazanç: -3
3) Masa sayısı: 1 | Garson sayısı: 1 | Aşçı sayısı: 3 | Müşteri sayısı: 1 | Kazanç: -4
4) Masa sayısı: 1 | Garson sayısı: 1 | Aşçı sayısı: 4 | Müşteri sayısı: 1 | Kazanç: -5
5) Masa sayısı: 1 | Garson sayısı: 1 | Aşçı sayısı: 5 | Müşteri sayısı: 1 | Kazanç: -6
6) Masa sayısı: 1 | Garson sayısı: 1 | Aşçı sayısı: 6 | Müşteri sayısı: 1 | Kazanç: -7
7) Masa sayısı: 1 | Garson sayısı: 1 | Aşçı sayısı: 7 | Müşteri sayısı: 1 | Kazanç: -8
8) Masa sayısı: 1 | Garson sayısı: 2 | Aşçı sayısı: 1 | Müşteri sayısı: 1 | Kazanç: -3
9) Masa sayısı: 1 | Garson sayısı: 2 | Aşçı sayısı: 2 | Müşteri sayısı: 1 | Kazanç: -4
10) Masa sayısı: 1 | Garson sayısı: 2 | Aşçı sayısı: 3 | Müşteri sayısı: 1 | Kazanç: -5
11) Masa sayısı: 1 | Garson sayısı: 2 | Aşçı sayısı: 4 | Müşteri sayısı: 1 | Kazanç: -6
12) Masa sayısı: 1 | Garson sayısı: 2 | Aşçı sayısı: 5 | Müşteri sayısı: 1 | Kazanç: -7
13) Masa sayısı: 1 | Garson sayısı: 2 | Aşçı sayısı: 6 | Müşteri sayısı: 1 | Kazanç: -8
14) Masa sayısı: 1 | Garson sayısı: 2 | Aşçı sayısı: 7 | Müşteri sayısı: 1 | Kazanç: -9
15) Masa sayısı: 1 | Garson sayısı: 3 | Aşçı sayısı: 1 | Müşteri sayısı: 1 | Kazanç: -4
16) Masa sayısı: 1 | Garson sayısı: 3 | Aşçı sayısı: 2 | Müşteri sayısı: 1 | Kazanç: -5
17) Masa sayısı: 1 | Garson sayısı: 3 | Aşçı sayısı: 3 | Müşteri sayısı: 1 | Kazanç: -6
18) Masa sayısı: 1 | Garson sayısı: 3 | Aşçı sayısı: 4 | Müşteri sayısı: 1 | Kazanç: -7
19) Masa sayısı: 1 | Garson sayısı: 3 | Aşçı sayısı: 5 | Müşteri sayısı: 1 | Kazanç: -8
20) Masa sayısı: 1 | Garson sayısı: 3 | Aşçı sayısı: 6 | Müşteri sayısı: 1 | Kazanç: -9
21) Masa sayısı: 1 | Garson sayısı: 3 | Aşçı sayısı: 7 | Müşteri sayısı: 1 | Kazanç: -10
22) Masa sayısı: 1 | Garson sayısı: 4 | Aşçı sayısı: 1 | Müşteri sayısı: 1 | Kazanç: -5
23) Masa sayısı: 1 | Garson sayısı: 4 | Aşçı sayısı: 2 | Müşteri sayısı: 1 | Kazanç: -6
24) Masa sayısı: 1 | Garson sayısı: 4 | Aşçı sayısı: 3 | Müşteri sayısı: 1 | Kazanç: -7
25) Masa sayısı: 1 | Garson sayısı: 4 | Aşçı sayısı: 4 | Müşteri sayısı: 1 | Kazanç: -8
26) Masa sayısı: 1 | Garson sayısı: 4 | Aşçı sayısı: 5 | Müşteri sayısı: 1 | Kazanç: -9
27) Masa sayısı: 1 | Garson sayısı: 4 | Aşçı sayısı: 6 | Müşteri sayısı: 1 | Kazanç: -10
28) Masa sayısı: 1 | Garson sayısı: 5 | Aşçı sayısı: 1 | Müşteri sayısı: 1 | Kazanç: -6
29) Masa sayısı: 1 | Garson sayısı: 5 | Aşçı sayısı: 2 | Müşteri sayısı: 1 | Kazanç: -7
30) Masa sayısı: 1 | Garson sayısı: 5 | Aşçı sayısı: 3 | Müşteri sayısı: 1 | Kazanç: -8
31) Masa sayısı: 1 | Garson sayısı: 5 | Aşçı sayısı: 4 | Müşteri sayısı: 1 | Kazanç: -9
32) Masa sayısı: 1 | Garson sayısı: 5 | Aşçı sayısı: 5 | Müşteri sayısı: 1 | Kazanç: -10
33) Masa sayısı: 1 | Garson sayısı: 5 | Aşçı sayısı: 6 | Müşteri sayısı: 1 | Kazanç: -11
34) Masa sayısı: 1 | Garson sayısı: 6 | Aşçı sayısı: 1 | Müşteri sayısı: 1 | Kazanç: -7
35) Masa sayısı: 1 | Garson sayısı: 6 | Aşçı sayısı: 2 | Müşteri sayısı: 1 | Kazanç: -8
36) Masa sayısı: 1 | Garson sayısı: 6 | Aşçı sayısı: 3 | Müşteri sayısı: 1 | Kazanç: -9
37) Masa sayısı: 1 | Garson sayısı: 6 | Aşçı sayısı: 4 | Müşteri sayısı: 1 | Kazanç: -10
38) Masa sayısı: 1 | Garson sayısı: 6 | Aşçı sayısı: 5 | Müşteri sayısı: 1 | Kazanç: -11
39) Masa sayısı: 1 | Garson sayısı: 7 | Aşçı sayısı: 1 | Müşteri sayısı: 1 | Kazanç: -8
40) Masa sayısı: 1 | Garson sayısı: 7 | Aşçı sayısı: 2 | Müşteri sayısı: 1 | Kazanç: -9
41) Masa sayısı: 1 | Garson sayısı: 7 | Aşçı sayısı: 3 | Müşteri sayısı: 1 | Kazanç: -10
42) Masa sayısı: 1 | Garson sayısı: 7 | Aşçı sayısı: 4 | Müşteri sayısı: 1 | Kazanç: -11
43) Masa sayısı: 1 | Garson sayısı: 7 | Aşçı sayısı: 5 | Müşteri sayısı: 1 | Kazanç: -12
44) Masa sayısı: 1 | Garson sayısı: 8 | Aşçı sayısı: 1 | Müşteri sayısı: 1 | Kazanç: -9
45) Masa sayısı: 1 | Garson sayısı: 8 | Aşçı sayısı: 2 | Müşteri sayısı: 1 | Kazanç: -10
